model_name,pw_name,dataset_name,fold_num,acc,f1,mcc,tp,fp,tn,fn,recall,precision,specifity,fpr,tpr,fnr,fdr
svc,amine_and_polyamine,test_df,1,0.9927140255009107,0.8823529411764706,0.8851892586642939,15,0,530,4,1.0,1.0,1.0,0.0,0.7894736842105263,0.21052631578947367,0.0
svc,amine_and_polyamine,test_df,2,0.9908925318761385,0.8484848484848484,0.8543744673429879,14,0,530,5,1.0,1.0,1.0,0.0,0.7368421052631579,0.2631578947368421,0.0
svc,amine_and_polyamine,test_df,3,0.9908925318761385,0.8484848484848484,0.8543744673429879,14,0,530,5,1.0,1.0,1.0,0.0,0.7368421052631579,0.2631578947368421,0.0
svc,amine_and_polyamine,test_df,4,0.9981785063752276,0.972972972972973,0.9724115896740338,18,0,530,1,1.0,1.0,1.0,0.0,0.9473684210526315,0.05263157894736842,0.0
svc,amine_and_polyamine,test_df,5,1.0,1.0,1.0,19,0,530,0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
svc,amine_and_polyamine,test_df,6,0.9927140255009107,0.8823529411764706,0.8851892586642939,15,0,530,4,1.0,1.0,1.0,0.0,0.7894736842105263,0.21052631578947367,0.0
svc,amine_and_polyamine,test_df,7,0.9981785063752276,0.972972972972973,0.9724115896740338,18,0,530,1,1.0,1.0,1.0,0.0,0.9473684210526315,0.05263157894736842,0.0
svc,amine_and_polyamine,test_df,8,0.9981785063752276,0.972972972972973,0.9724115896740338,18,0,530,1,1.0,1.0,1.0,0.0,0.9473684210526315,0.05263157894736842,0.0
svc,amine_and_polyamine,test_df,9,0.994535519125683,0.9090909090909091,0.9103030733735102,15,0,531,3,1.0,1.0,1.0,0.0,0.8333333333333334,0.16666666666666666,0.0
svc,amine_and_polyamine,test_df,10,0.9963503649635036,0.9411764705882353,0.9410351753981755,16,0,530,2,1.0,1.0,1.0,0.0,0.8888888888888888,0.1111111111111111,0.0
nb,amine_and_polyamine,test_df,1,0.843351548269581,0.2833333333333333,0.34732668597989,17,84,446,2,0.16831683168316833,0.16831683168316833,0.8415094339622642,0.15849056603773584,0.8947368421052632,0.10526315789473684,0.8316831683168316
nb,amine_and_polyamine,test_df,2,0.9034608378870674,0.3908045977011494,0.443065906019646,17,51,479,2,0.25,0.25,0.9037735849056604,0.09622641509433963,0.8947368421052632,0.10526315789473684,0.75
nb,amine_and_polyamine,test_df,3,0.8779599271402551,0.32323232323232326,0.37370566845741976,16,64,466,3,0.2,0.2,0.879245283018868,0.12075471698113208,0.8421052631578947,0.15789473684210525,0.8
nb,amine_and_polyamine,test_df,4,0.8269581056466302,0.2748091603053435,0.34927003810355245,18,94,436,1,0.16071428571428573,0.16071428571428573,0.8226415094339623,0.17735849056603772,0.9473684210526315,0.05263157894736842,0.8392857142857143
nb,amine_and_polyamine,test_df,5,0.843351548269581,0.3064516129032258,0.38934598559116657,19,86,444,0,0.18095238095238095,0.18095238095238095,0.8377358490566038,0.16226415094339622,1.0,0.0,0.819047619047619
