model_name,pw_name,dataset_name,fold_num,acc,f1,mcc,tp,fp,tn,fn,recall,precision,specifity,fpr,tpr,fnr,fdr
svc,amino_acid,test_df,1,0.9672131147540983,0.7499999999999999,0.7611243951073873,27,0,504,18,1.0,1.0,1.0,0.0,0.6,0.4,0.0
svc,amino_acid,test_df,2,0.9562841530054644,0.6363636363636364,0.6674238124719146,21,0,504,24,1.0,1.0,1.0,0.0,0.4666666666666667,0.5333333333333333,0.0
svc,amino_acid,test_df,3,0.9672131147540983,0.7499999999999999,0.7611243951073873,27,0,504,18,1.0,1.0,1.0,0.0,0.6,0.4,0.0
svc,amino_acid,test_df,4,0.9635701275045537,0.7142857142857143,0.7309932592289535,25,0,504,20,1.0,1.0,1.0,0.0,0.5555555555555556,0.4444444444444444,0.0
svc,amino_acid,test_df,5,0.9562841530054644,0.6363636363636364,0.6674238124719146,21,0,504,24,1.0,1.0,1.0,0.0,0.4666666666666667,0.5333333333333333,0.0
svc,amino_acid,test_df,6,0.9635701275045537,0.7222222222222221,0.7304176569449861,26,1,503,19,0.9629629629629629,0.9629629629629629,0.998015873015873,0.001984126984126984,0.5777777777777777,0.4222222222222222,0.037037037037037035
svc,amino_acid,test_df,7,0.9635701275045537,0.7142857142857143,0.7309932592289535,25,0,504,20,1.0,1.0,1.0,0.0,0.5555555555555556,0.4444444444444444,0.0
svc,amino_acid,test_df,8,0.9690346083788707,0.7671232876712328,0.7758346381778433,28,0,504,17,1.0,1.0,1.0,0.0,0.6222222222222222,0.37777777777777777,0.0
svc,amino_acid,test_df,9,0.9726775956284153,0.8051948051948052,0.8089488160612405,31,0,503,15,1.0,1.0,1.0,0.0,0.6739130434782609,0.32608695652173914,0.0
svc,amino_acid,test_df,10,0.968978102189781,0.7671232876712328,0.7758094752452704,28,0,503,17,1.0,1.0,1.0,0.0,0.6222222222222222,0.37777777777777777,0.0
nb,amino_acid,test_df,1,0.5373406193078324,0.24404761904761904,0.2281373126124257,41,250,254,4,0.140893470790378,0.140893470790378,0.503968253968254,0.49603174603174605,0.9111111111111111,0.08888888888888889,0.8591065292096219
nb,amino_acid,test_df,2,0.4790528233151184,0.18285714285714286,0.09354143466934854,32,273,231,13,0.10491803278688525,0.10491803278688525,0.4583333333333333,0.5416666666666666,0.7111111111111111,0.28888888888888886,0.8950819672131147
nb,amino_acid,test_df,3,0.45901639344262296,0.2245430809399478,0.20878680587651358,43,295,209,2,0.12721893491124261,0.12721893491124261,0.4146825396825397,0.5853174603174603,0.9555555555555556,0.044444444444444446,0.8727810650887574
nb,amino_acid,test_df,4,0.3770491803278688,0.1857142857142857,0.1179128842657242,39,336,168,6,0.104,0.104,0.3333333333333333,0.6666666666666666,0.8666666666666667,0.13333333333333333,0.896
nb,amino_acid,test_df,5,0.44990892531876137,0.19680851063829788,0.1339291868095394,37,294,210,8,0.11178247734138973,0.11178247734138973,0.4166666666666667,0.5833333333333334,0.8222222222222222,0.17777777777777778,0.8882175226586103
nb,amino_acid,test_df,6,0.3970856102003643,0.19854721549636803,0.15305913232828525,41,327,177,4,0.11141304347826086,0.11141304347826086,0.35119047619047616,0.6488095238095238,0.9111111111111111,0.08888888888888889,0.8885869565217391
nb,amino_acid,test_df,7,0.46994535519125685,0.2070844686648501,0.15649965250749134,38,284,220,7,0.11801242236024845,0.11801242236024845,0.4365079365079365,0.5634920634920635,0.8444444444444444,0.15555555555555556,0.8819875776397516
nb,amino_acid,test_df,8,0.47176684881602915,0.2245989304812834,0.20369531044454275,42,287,217,3,0.1276595744680851,0.1276595744680851,0.4305555555555556,0.5694444444444444,0.9333333333333333,0.06666666666666667,0.8723404255319149
nb,amino_acid,test_df,9,0.4936247723132969,0.24456521739130435,0.24056045485555116,45,277,226,1,0.13975155279503104,0.13975155279503104,0.44930417495029823,0.5506958250497018,0.9782608695652174,0.021739130434782608,0.860248447204969
nb,amino_acid,test_df,10,0.4726277372262774,0.21680216802168017,0.18109618280403753,40,284,219,5,0.12345679012345678,0.12345679012345678,0.43538767395626243,0.5646123260437376,0.8888888888888888,0.1111111111111111,0.8765432098765432
dt,amino_acid,test_df,1,0.9635701275045537,0.7297297297297297,0.7309543352648756,27,2,502,18,0.9310344827586207,0.9310344827586207,0.996031746031746,0.003968253968253968,0.6,0.4,0.06896551724137931
dt,amino_acid,test_df,2,0.9635701275045537,0.7297297297297297,0.7309543352648756,27,2,502,18,0.9310344827586207,0.9310344827586207,0.996031746031746,0.003968253968253968,0.6,0.4,0.06896551724137931
dt,amino_acid,test_df,3,0.9690346083788707,0.7671232876712328,0.7758346381778433,28,0,504,17,1.0,1.0,1.0,0.0,0.6222222222222222,0.37777777777777777,0.0
dt,amino_acid,test_df,4,0.9526411657559198,0.6176470588235294,0.633523522426836,21,2,502,24,0.9130434782608695,0.9130434782608695,0.996031746031746,0.003968253968253968,0.4666666666666667,0.5333333333333333,0.08695652173913043
dt,amino_acid,test_df,5,0.9581056466302368,0.676056338028169,0.6836586222993013,24,2,502,21,0.9230769230769231,0.9230769230769231,0.996031746031746,0.003968253968253968,0.5333333333333333,0.4666666666666667,0.07692307692307693
dt,amino_acid,test_df,6,0.9635701275045537,0.7297297297297297,0.7309543352648756,27,2,502,18,0.9310344827586207,0.9310344827586207,0.996031746031746,0.003968253968253968,0.6,0.4,0.06896551724137931
dt,amino_acid,test_df,7,0.9635701275045537,0.7142857142857143,0.7309932592289535,25,0,504,20,1.0,1.0,1.0,0.0,0.5555555555555556,0.4444444444444444,0.0
dt,amino_acid,test_df,8,0.9599271402550091,0.7105263157894737,0.7036295672480143,27,4,500,18,0.8709677419354839,0.8709677419354839,0.9920634920634921,0.007936507936507936,0.6,0.4,0.12903225806451613
dt,amino_acid,test_df,9,0.970856102003643,0.7948717948717949,0.7946272048703503,31,1,502,15,0.96875,0.96875,0.9980119284294234,0.0019880715705765406,0.6739130434782609,0.32608695652173914,0.03125
dt,amino_acid,test_df,10,0.9671532846715328,0.7567567567567567,0.7606121293459078,28,1,502,17,0.9655172413793104,0.9655172413793104,0.9980119284294234,0.0019880715705765406,0.6222222222222222,0.37777777777777777,0.034482758620689655
mlp,amino_acid,test_df,1,0.9726775956284153,0.8148148148148148,0.806071407442201,33,3,501,12,0.9166666666666666,0.9166666666666666,0.9940476190476191,0.005952380952380952,0.7333333333333333,0.26666666666666666,0.08333333333333333
mlp,amino_acid,test_df,2,0.9599271402550091,0.6857142857142858,0.6991428386482634,24,1,503,21,0.96,0.96,0.998015873015873,0.001984126984126984,0.5333333333333333,0.4666666666666667,0.04
mlp,amino_acid,test_df,3,0.970856102003643,0.7894736842105263,0.7899326576008203,30,1,503,15,0.967741935483871,0.967741935483871,0.998015873015873,0.001984126984126984,0.6666666666666666,0.3333333333333333,0.03225806451612903
mlp,amino_acid,test_df,4,0.9617486338797814,0.7200000000000001,0.7169658635847524,27,3,501,18,0.9,0.9,0.9940476190476191,0.005952380952380952,0.6,0.4,0.1
mlp,amino_acid,test_df,5,0.9690346083788707,0.7792207792207793,0.775920443879865,30,2,502,15,0.9375,0.9375,0.996031746031746,0.003968253968253968,0.6666666666666666,0.3333333333333333,0.0625
mlp,amino_acid,test_df,6,0.9799635701275046,0.8674698795180723,0.8602994884030095,36,2,502,9,0.9473684210526315,0.9473684210526315,0.996031746031746,0.003968253968253968,0.8,0.2,0.05263157894736842
mlp,amino_acid,test_df,7,0.9617486338797814,0.7407407407407408,0.725596193278577,30,6,498,15,0.8333333333333334,0.8333333333333334,0.9880952380952381,0.011904761904761904,0.6666666666666666,0.3333333333333333,0.16666666666666666
mlp,amino_acid,test_df,8,0.9817850637522769,0.8809523809523809,0.8737601901708832,37,2,502,8,0.9487179487179487,0.9487179487179487,0.996031746031746,0.003968253968253968,0.8222222222222222,0.17777777777777778,0.05128205128205128
mlp,amino_acid,test_df,9,0.9872495446265938,0.9195402298850575,0.914423180735671,40,1,502,6,0.975609756097561,0.975609756097561,0.9980119284294234,0.0019880715705765406,0.8695652173913043,0.13043478260869565,0.024390243902439025
mlp,amino_acid,test_df,10,0.9781021897810219,0.85,0.8460961040801211,34,1,502,11,0.9714285714285714,0.9714285714285714,0.9980119284294234,0.0019880715705765406,0.7555555555555555,0.24444444444444444,0.02857142857142857
knn,amino_acid,test_df,1,0.970856102003643,0.7948717948717948,0.7904601036159704,31,2,502,14,0.9393939393939394,0.9393939393939394,0.996031746031746,0.003968253968253968,0.6888888888888889,0.3111111111111111,0.06060606060606061
knn,amino_acid,test_df,2,0.9599271402550091,0.6857142857142858,0.6991428386482634,24,1,503,21,0.96,0.96,0.998015873015873,0.001984126984126984,0.5333333333333333,0.4666666666666667,0.04
knn,amino_acid,test_df,3,0.9781420765027322,0.846153846153846,0.8463327181241677,33,0,504,12,1.0,1.0,1.0,0.0,0.7333333333333333,0.26666666666666666,0.0
knn,amino_acid,test_df,4,0.9726775956284153,0.8101265822784811,0.80479563271865,32,2,502,13,0.9411764705882353,0.9411764705882353,0.996031746031746,0.003968253968253968,0.7111111111111111,0.28888888888888886,0.058823529411764705
